FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=1327388864/api=/v1/kadalu/ServiceAccount/kadalu-server-sa,Medium,Automatic mapping of service account,1,1,0
path=2740719619/api=apps/v1//Deployment/litmusportal-auth-server,High,Applications credentials in configuration files,1,1,0
path=2740719619/api=apps/v1//Deployment/litmusportal-auth-server,Medium,Ingress and Egress blocked,1,1,0
path=2682430657/api=apps/v1//Deployment/grafana,Medium,Ingress and Egress blocked,1,1,0
path=3566658826/api=apps/v1//Deployment/subscriber,Medium,Ingress and Egress blocked,1,1,0
/webapp/ServiceAccount/reconciler/path=2510971744/api=rbac.authorization.k8s.io/v1/webapp/RoleBinding/reconciler/path=905884789/api=rbac.authorization.k8s.io/v1/secure/Role/reconciler,Medium,Administrative Roles,1,1,0
/argocd/ServiceAccount/argocd-application-controller/path=520872017/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller/path=726365914/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller,Medium,Administrative Roles,1,1,0
path=4053686787/api=apps/v1/mongodb/Deployment/mongodb-enterprise-operator-multi-cluster,Medium,Ingress and Egress blocked,1,1,0
path=263282858/api=apps/v1//Deployment/reviews-v1,Medium,Ingress and Egress blocked,1,1,0
path=1049438294/api=apps/v1/monitoring/Deployment/grafana,Medium,Ingress and Egress blocked,1,1,0
path=879536185/api=apps/v1/webapp/Deployment/frontend,Medium,Ingress and Egress blocked,1,1,0
path=3639622947/api=apps/v1//Deployment/pgo,Medium,Ingress and Egress blocked,1,1,0
path=2530510884/api=/v1/system/ServiceAccount/controller-manager,Medium,Automatic mapping of service account,1,1,0
path=700227019/api=apps/v1//Deployment/ratings-v2-mysql,High,Applications credentials in configuration files,1,1,0
path=700227019/api=apps/v1//Deployment/ratings-v2-mysql,Medium,Ingress and Egress blocked,1,1,0
path=251834079/api=/v1//ConfigMap/credentials-sync-eventhub,High,Applications credentials in configuration files,1,1,0
path=3282625348/api=/v1/chaos-ns/ServiceAccount/chaos-admin,Medium,Automatic mapping of service account,1,1,0
path=2273199358/api=/v1//ServiceAccount/argo,Medium,Automatic mapping of service account,1,1,0
path=1711532008/api=apps/v1//Deployment/db,High,Applications credentials in configuration files,1,1,0
path=1711532008/api=apps/v1//Deployment/db,Medium,Ingress and Egress blocked,1,1,0
path=1697514459/api=apps/v1//Deployment/argocd-image-updater,Medium,Ingress and Egress blocked,1,1,0
path=1685157848/api=/v1/monitoring/ServiceAccount/kube-state-metrics,Medium,Automatic mapping of service account,1,1,0
path=86267571/api=/v1/litmus/ConfigMap/litmus-portal-admin-config,High,Applications credentials in configuration files,1,1,0
path=2051644346/api=apps/v1/sock-shop/Deployment/front-end,Medium,Ingress and Egress blocked,1,1,0
path=1008632204/api=apps/v1/kong/Deployment/ingress-kong,Medium,Ingress and Egress blocked,1,1,0
path=830918469/api=apps/v1/sock-shop/Deployment/orders-db,Medium,Ingress and Egress blocked,1,1,0
path=3790864514/api=apps/v1//Deployment/argocd-server,Medium,Ingress and Egress blocked,1,1,0
path=2160295787/api=apps/v1//Deployment/tcp-echo,Medium,Ingress and Egress blocked,1,1,0
path=2330883704/api=apps/v1//Deployment/productpage-v1,Medium,Ingress and Egress blocked,1,1,0
path=3269991016/api=/v1/monitoring-system/ServiceAccount/vm-operator,Medium,Automatic mapping of service account,1,1,0
path=3017647848/api=/v1/kubeeye-system/ServiceAccount/kubehunter,Medium,Automatic mapping of service account,1,1,0
path=705543671/api=apps/v1/monitoring-system/Deployment/vm-operator,Medium,Ingress and Egress blocked,1,1,0
path=1122025754/api=apps/v1/kong/Deployment/ingress-kong,Medium,Ingress and Egress blocked,1,1,0
path=2130349526/api=/v1/monitoring/ServiceAccount/prometheus-k8s,Medium,Automatic mapping of service account,1,1,0
path=1759939687/api=/v1/longhorn-system/ServiceAccount/longhorn-ui-service-account,Medium,Automatic mapping of service account,1,1,0
path=860988868/api=apps/v1/monitoring-system/Deployment/vm-operator,Medium,Ingress and Egress blocked,1,1,0
path=2785929156/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=3848391655/api=apps/v1//DaemonSet/longhorn-iscsi-installation,Medium,Ingress and Egress blocked,1,1,0
path=3848391655/api=apps/v1//DaemonSet/longhorn-iscsi-installation,High,HostNetwork access,1,1,0
path=1305559725/api=/v1/system/ServiceAccount/manager,Medium,Automatic mapping of service account,1,1,0
path=3257953298/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1321588418/api=apps/v1//Deployment/workflow-controller,Medium,Ingress and Egress blocked,1,1,0
path=1927737181/api=apps/v1/sock-shop/Deployment/payment,Medium,Ingress and Egress blocked,1,1,0
path=95753928/api=/v1/istio-system/ConfigMap/kiali,High,Applications credentials in configuration files,1,1,0
path=2382104869/api=/v1/monitoring/ServiceAccount/pyrra-kubernetes,Medium,Automatic mapping of service account,1,1,0
path=1141099501/api=/v1/metallb-system/ServiceAccount/speaker,Medium,Automatic mapping of service account,1,1,0
path=3013090760/api=apps/v1/litmus/Deployment/chaos-exporter,Medium,Ingress and Egress blocked,1,1,0
path=1568143385/api=apps/v1//StatefulSet/argocd-application-controller,Medium,Ingress and Egress blocked,1,1,0
path=568136692/api=/v1/mongodb/ServiceAccount/mongodb-enterprise-database-pods,Medium,Automatic mapping of service account,1,1,0
path=315615310/api=apps/v1/kadalu/Deployment/operator,Medium,Ingress and Egress blocked,1,1,0
path=1697359155/api=apps/v1/sock-shop/Deployment/user-db,Medium,Ingress and Egress blocked,1,1,0
/secure/ServiceAccount/reconciler/path=855551932/api=rbac.authorization.k8s.io/v1/secure/RoleBinding/reconciler/path=905884789/api=rbac.authorization.k8s.io/v1/secure/Role/reconciler,Medium,Administrative Roles,1,1,0
path=405399087/api=apps/v1/kube-system/DaemonSet/csi-secrets-store,Medium,Ingress and Egress blocked,1,1,0
path=3299077264/api=apps/v1/kadalu/Deployment/operator,Medium,Ingress and Egress blocked,1,1,0
path=954368390/api=apps/v1//Deployment/sleep,Medium,Ingress and Egress blocked,1,1,0
/argocd/ServiceAccount/argocd-application-controller/path=2504249075/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller/path=905549350/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller,Medium,Administrative Roles,1,1,0
path=3676370024/api=/v1/monitoring/ServiceAccount/mysql-exporter,Medium,Automatic mapping of service account,1,1,0
path=759818900/api=/v1/monitoring/ServiceAccount/kube-state-metrics,Medium,Automatic mapping of service account,1,1,0
